,Month,Year,Fish,Ducks,Total
0,J,2006,71,25,96
1,F,2006,76,29,105
2,M,2006,73,29,102
3,A,2006,81,29,110
4,M,2006,83,32,115
5,J,2006,25,81,106
6,J,2006,35,89,124
7,A,2006,32,91,123
8,S,2006,25,87,112
9,O,2006,21,96,117
10,N,2006,113,51,164
11,D,2006,125,49,174
12,J,2007,90,34,124
13,F,2007,91,30,121
14,M,2007,90,30,120
15,A,2007,35,97,132
16,M,2007,34,96,130
17,J,2007,34,97,131
18,J,2007,43,105,148
19,A,2007,38,105,143
20,S,2007,119,43,162
21,O,2007,134,45,179
22,N,2007,139,58,197
23,D,2007,148,60,208
24,J,2008,103,37,140
25,F,2008,37,106,143
26,M,2008,34,103,137
27,A,2008,45,114,159
28,M,2008,40,117,157
29,J,2008,37,113,150
30,J,2008,129,48,177
31,A,2008,127,45,172
32,S,2008,137,45,182
33,O,2008,160,56,216
34,N,2008,125,175,300
35,D,2008,137,201,338
